Addr1,Addr2,Addr3,Addr4,Addr5
光泽,邵武军,福建路,宋朝,
漳州,福建路,宋朝,,
长泰,漳州,福建路,宋朝,
龙岩,漳州,福建路,宋朝,
漳浦,漳州,福建路,宋朝,
龙溪,漳州,福建路,宋朝,
海口镇,龙溪,漳州,福建路,宋朝
汀州,福建路,宋朝,,
长汀,汀州,福建路,宋朝,
宁化,汀州,福建路,宋朝,
武平,汀州,福建路,宋朝,
武平场,汀州,福建路,宋朝,
上杭,汀州,福建路,宋朝,
上杭场,汀州,福建路,宋朝,
清流,汀州,福建路,宋朝,
剑州,福建路,宋朝,,
剑浦,剑州,福建路,宋朝,
尤溪,剑州,福建路,宋朝,
沙县,剑州,福建路,宋朝,
顺昌,剑州,福建路,宋朝,
将乐,剑州,福建路,宋朝,
泉州,福建路,宋朝,,
长泰,泉州,福建路,宋朝,
莆田,泉州,福建路,宋朝,
晋江,泉州,福建路,宋朝,
仙游,泉州,福建路,宋朝,
平海军节度,泉州,福建路,宋朝,
德化,泉州,福建路,宋朝,
安溪,泉州,福建路,宋朝,
清溪,泉州,福建路,宋朝,
永春,泉州,福建路,宋朝,
惠安,泉州,福建路,宋朝,
同安,泉州,福建路,宋朝,
南安,泉州,福建路,宋朝,
建宁府,福建路,宋朝,,
建州节度,建宁府,福建路,宋朝,
福州,福建路,宋朝,,
威武军节度,福州,福建路,宋朝,
福安县,福州,福建路,宋朝,
宁德,福州,福建路,宋朝,
罗源,福州,福建路,宋朝,
永昌,福州,福建路,宋朝,
永贞,福州,福建路,宋朝,
闽清,福州,福建路,宋朝,
永福,福州,福建路,宋朝,
永泰,福州,福建路,宋朝,
长乐,福州,福建路,宋朝,
古田,福州,福建路,宋朝,
连江,福州,福建路,宋朝,
长溪,福州,福建路,宋朝,
怀安,福州,福建路,宋朝,
福清,福州,福建路,宋朝,
侯官,福州,福建路,宋朝,
闽县,福州,福建路,宋朝,
两浙西南路,宋朝,,,
夔州路,宋朝,,,
南平军节度,夔州路,宋朝,,
梁山军节度,夔州路,宋朝,,
云安军节度,夔州路,宋朝,,
重庆府,夔州路,宋朝,,
南川,重庆府,夔州路,宋朝,
忠州,夔州路,宋朝,,
龙渠,忠州,夔州路,宋朝,
南宾,忠州,夔州路,宋朝,
酆都,忠州,夔州路,宋朝,
桂溪,忠州,夔州路,宋朝,
垫江,忠州,夔州路,宋朝,
临江,忠州,夔州路,宋朝,
达州,夔州路,宋朝,,
新宁,达州,夔州路,宋朝,
东乡,达州,夔州路,宋朝,
通明,达州,夔州路,宋朝,
黔州,夔州路,宋朝,,
彭水,黔州,夔州路,宋朝,
黔江,黔州,夔州路,宋朝,
洪都,黔州,夔州路,宋朝,
洋水,黔州,夔州路,宋朝,
信宁,黔州,夔州路,宋朝,
都濡,黔州,夔州路,宋朝,
务川城,黔州,夔州路,宋朝,
洋羁縻州,黔州,夔州路,宋朝,
蛮羁縻州,黔州,夔州路,宋朝,
大万谷乐羁縻州,黔州,夔州路,宋朝,
功羁縻州,黔州,夔州路,宋朝,
普宁羁縻州,黔州,夔州路,宋朝,
蒋羁縻州,黔州,夔州路,宋朝,
陈蒙羁縻州,黔州,夔州路,宋朝,
候羁縻州,黔州,夔州路,宋朝,
犍羁縻州,黔州,夔州路,宋朝,
庄羁縻州,黔州,夔州路,宋朝,
邦羁縻州,黔州,夔州路,宋朝,
邦羁縻州,黔州,夔州路,宋朝,
南宁羁縻州,黔州,夔州路,宋朝,
和武羁縻州,黔州,夔州路,宋朝,
乡羁縻州,黔州,夔州路,宋朝,
罗嵩羁縻州,黔州,夔州路,宋朝,
牂羁縻州,黔州,夔州路,宋朝,
合江羁縻州,黔州,夔州路,宋朝,
南州羁縻州,黔州,夔州路,宋朝,
充羁縻州,黔州,夔州路,宋朝,
南平羁縻州,黔州,夔州路,宋朝,
南羁縻州,黔州,夔州路,宋朝,
夷羁縻州,黔州,夔州路,宋朝,
溱羁縻州,黔州,夔州路,宋朝,
秬羁縻州,黔州,夔州路,宋朝,
邦羁縻州,黔州,夔州路,宋朝,
罗殿,夔州路,宋朝,,
归州,夔州路,宋朝,,
兴山,归州,夔州路,宋朝,
巴东,归州,夔州路,宋朝,
巴东,归州,夔州路,宋朝,
秭归,归州,夔州路,宋朝,
兴山,归州,夔州路,宋朝,
播州,夔州路,宋朝,,
播川,播州,夔州路,宋朝,
带水,播州,夔州路,宋朝,
琅川,播州,夔州路,宋朝,
乐源,播州,夔州路,宋朝,
思州,夔州路,宋朝,,
遵义军,夔州路,宋朝,,
鹤羁縻州,夔州路,宋朝,,
恭州,夔州路,宋朝,,
程乡,恭州,夔州路,宋朝,
文贵,夔州路,宋朝,,
文贵,文贵,夔州路,宋朝,
光荣,夔州路,宋朝,,
光荣,光荣,夔州路,宋朝,
溱州,夔州路,宋朝,,
溱溪,溱州,夔州路,宋朝,
夜郎,溱州,夔州路,宋朝,
承州,夔州路,宋朝,,
都上,承州,夔州路,宋朝,
义泉,承州,夔州路,宋朝,
宁夷,承州,夔州路,宋朝,
洋川,承州,夔州路,宋朝,
绥阳,承州,夔州路,宋朝,
田氏,夔州路,宋朝,,
邛水,田氏,夔州路,宋朝,
邛水,田氏,夔州路,宋朝,
务川,田氏,夔州路,宋朝,
安夷,田氏,夔州路,宋朝,
邛水,田氏,夔州路,宋朝,
珍州,夔州路,宋朝,,
乐源,珍州,夔州路,宋朝,
绥阳,珍州,夔州路,宋朝,
大宁监,夔州路,宋朝,,
大宁监,大宁监,夔州路,宋朝,
大昌,大宁监,夔州路,宋朝,
南平军,夔州路,宋朝,,
隆化,南平军,夔州路,宋朝,
南川,南平军,夔州路,宋朝,
播川城,南平军,夔州路,宋朝,
梁山军,夔州路,宋朝,,
梁山,梁山军,夔州路,宋朝,
梁山,梁山军,夔州路,宋朝,
云安军,夔州路,宋朝,,
安义,云安军,夔州路,宋朝,
云安,云安军,夔州路,宋朝,
渝州,夔州路,宋朝,,
巴县,渝州,夔州路,宋朝,
江津,渝州,夔州路,宋朝,
壁山,渝州,夔州路,宋朝,
万寿,渝州,夔州路,宋朝,
南平,渝州,夔州路,宋朝,
南川,渝州,夔州路,宋朝,
南羁縻州,渝州,夔州路,宋朝,
溱羁縻州,渝州,夔州路,宋朝,
涪州,夔州路,宋朝,,
涪陵,涪州,夔州路,宋朝,
乐温,涪州,夔州路,宋朝,
枳县,涪州,夔州路,宋朝,
宾化,涪州,夔州路,宋朝,
温山,涪州,夔州路,宋朝,
武龙,涪州,夔州路,宋朝,
隆化,涪州,夔州路,宋朝,
开州,夔州路,宋朝,,
开江,开州,夔州路,宋朝,
万岁,开州,夔州路,宋朝,
清水,开州,夔州路,宋朝,
新浦,开州,夔州路,宋朝,
万州,夔州路,宋朝,,
南浦,万州,夔州路,宋朝,
武宁,万州,夔州路,宋朝,
梁山,万州,夔州路,宋朝,
咸淳府,夔州路,宋朝,,
施州,夔州路,宋朝,,
清江,施州,夔州路,宋朝,
建始,施州,夔州路,宋朝,
清江郡,施州,夔州路,宋朝,
通州,夔州路,宋朝,,
通川,通州,夔州路,宋朝,
巴渠,通州,夔州路,宋朝,
永睦,通州,夔州路,宋朝,
新宁,通州,夔州路,宋朝,
石鼓,通州,夔州路,宋朝,
三冈,通州,夔州路,宋朝,
宣汉,通州,夔州路,宋朝,
阆英,通州,夔州路,宋朝,
通明,通州,夔州路,宋朝,
通明,通州,夔州路,宋朝,
东乡,通州,夔州路,宋朝,
绍庆府,夔州路,宋朝,,
武泰军节度,绍庆府,夔州路,宋朝,
黔州节度,绍庆府,夔州路,宋朝,
夔州,夔州路,宋朝,,
宁江军节度,夔州,夔州路,宋朝,
云安,夔州,夔州路,宋朝,
大昌,夔州,夔州路,宋朝,
巫山,夔州,夔州路,宋朝,
奉节,夔州,夔州路,宋朝,
利州路,宋朝,,,
兴州,利州路,宋朝,,
长举,兴州,利州路,宋朝,
略阳,兴州,利州路,宋朝,
顺政,兴州,利州路,宋朝,
剑州,利州路,宋朝,,
普安,剑州,利州路,宋朝,
梓潼,剑州,利州路,宋朝,
阴平,剑州,利州路,宋朝,
武连,剑州,利州路,宋朝,
普城,剑州,利州路,宋朝,
临津,剑州,利州路,宋朝,
永归,剑州,利州路,宋朝,
剑门,剑州,利州路,宋朝,
龙州,利州路,宋朝,,
江油,龙州,利州路,宋朝,
清川,龙州,利州路,宋朝,
三泉,利州路,宋朝,,
剑门关,利州路,宋朝,,
剑门,剑门关,利州路,宋朝,
阶州,利州路,宋朝,,
福津,阶州,利州路,宋朝,
将利,阶州,利州路,宋朝,
凤州,利州路,宋朝,,
两当,凤州,利州路,宋朝,
梁泉,凤州,利州路,宋朝,
河池,凤州,利州路,宋朝,
西和州,利州路,宋朝,,
大潭,西和州,利州路,宋朝,
祐川,西和州,利州路,宋朝,
长道,西和州,利州路,宋朝,
天水军,利州路,宋朝,,
天水,天水军,利州路,宋朝,
同庆府,利州路,宋朝,,
成州,利州路,宋朝,,
栗亭,成州,利州路,宋朝,
天水,成州,利州路,宋朝,
同谷,成州,利州路,宋朝,
北天水,成州,利州路,宋朝,
南天水,成州,利州路,宋朝,
金州,利州路,宋朝,,
西城,金州,利州路,宋朝,
石泉,金州,利州路,宋朝,
汉阴,金州,利州路,宋朝,
洵阳,金州,利州路,宋朝,
平利,金州,利州路,宋朝,
上津,金州,利州路,宋朝,
昭化军节度,金州,利州路,宋朝,
淯阳,金州,利州路,宋朝,
壁州,利州路,宋朝,,
白石,壁州,利州路,宋朝,
符阳,壁州,利州路,宋朝,
通江,壁州,利州路,宋朝,
集州,利州路,宋朝,,
大牟,集州,利州路,宋朝,
通平,集州,利州路,宋朝,
嘉川,集州,利州路,宋朝,
清化,集州,利州路,宋朝,
难江,集州,利州路,宋朝,
大安军,利州路,宋朝,,
大安军,大安军,利州路,宋朝,
大安军,大安军,利州路,宋朝,
大安军,大安军,利州路,宋朝,
西县,大安军,利州路,宋朝,
三泉,大安军,利州路,宋朝,
政州,利州路,宋朝,,
蓬州,利州路,宋朝,,
蓬池,蓬州,利州路,宋朝,
仪陇,蓬州,利州路,宋朝,
朗池,蓬州,利州路,宋朝,
营山,蓬州,利州路,宋朝,
伏虞,蓬州,利州路,宋朝,
蓬山,蓬州,利州路,宋朝,
宕渠,蓬州,利州路,宋朝,
相如,蓬州,利州路,宋朝,
良山,蓬州,利州路,宋朝,
沔州,利州路,宋朝,,
文州,利州路,宋朝,,
曲水,文州,利州路,宋朝,
巴州,利州路,宋朝,,
化城,巴州,利州路,宋朝,
恩阳,巴州,利州路,宋朝,
曾口,巴州,利州路,宋朝,
盘道,巴州,利州路,宋朝,
归仁,巴州,利州路,宋朝,
始宁,巴州,利州路,宋朝,
其章,巴州,利州路,宋朝,
七盘,巴州,利州路,宋朝,
清化,巴州,利州路,宋朝,
通江,巴州,利州路,宋朝,
难江,巴州,利州路,宋朝,
隆庆府,利州路,宋朝,,
阆州,利州路,宋朝,,
阆中,阆州,利州路,宋朝,
苍溪,阆州,利州路,宋朝,
南部,阆州,利州路,宋朝,
新井,阆州,利州路,宋朝,
奉国,阆州,利州路,宋朝,
新政,阆州,利州路,宋朝,
西水,阆州,利州路,宋朝,
岐山,阆州,利州路,宋朝,
晋安,阆州,利州路,宋朝,
安德军节度,阆州,利州路,宋朝,
洋州,利州路,宋朝,,
兴道,洋州,利州路,宋朝,
西乡,洋州,利州路,宋朝,
真符,洋州,利州路,宋朝,
武康军节度,洋州,利州路,宋朝,
武定军节度,洋州,利州路,宋朝,
利州,利州路,宋朝,,
嘉川,利州,利州路,宋朝,
宁武军节度,利州,利州路,宋朝,
昭武军节度,利州,利州路,宋朝,
平蜀,利州,利州路,宋朝,
裔山,利州,利州路,宋朝,
昭化,利州,利州路,宋朝,
益昌,利州,利州路,宋朝,
葭萌,利州,利州路,宋朝,
绵谷,利州,利州路,宋朝,
兴元府,利州路,宋朝,,
三泉,兴元府,利州路,宋朝,
西县,兴元府,利州路,宋朝,
山南西道节度,兴元府,利州路,宋朝,
西县,兴元府,利州路,宋朝,
褒城,兴元府,利州路,宋朝,
城固,兴元府,利州路,宋朝,
廉水,兴元府,利州路,宋朝,
南郑,兴元府,利州路,宋朝,
潼川府路,宋朝,,,
梓州路,宋朝,,,
广安军,梓州路,宋朝,,
和溪,广安军,梓州路,宋朝,
岳池,广安军,梓州路,宋朝,
新明,广安军,梓州路,宋朝,
渠江,广安军,梓州路,宋朝,
叙州,梓州路,宋朝,,
僰道,叙州,梓州路,宋朝,
南广部,叙州,梓州路,宋朝,
宜宾,叙州,梓州路,宋朝,
庆符,叙州,梓州路,宋朝,
泸州,梓州路,宋朝,,
泸川军节度,泸州,梓州路,宋朝,
罗氏部,泸州,梓州路,宋朝,
泸川,泸州,梓州路,宋朝,
富义,泸州,梓州路,宋朝,
淯井监,泸州,梓州路,宋朝,
武都城,泸州,梓州路,宋朝,
九支城,泸州,梓州路,宋朝,
绵水,泸州,梓州路,宋朝,
纳溪,泸州,梓州路,宋朝,
乐共城,泸州,梓州路,宋朝,
泾南,泸州,梓州路,宋朝,
合江,泸州,梓州路,宋朝,
江安,泸州,梓州路,宋朝,
果州,梓州路,宋朝,,
流溪,果州,梓州路,宋朝,
岳池,果州,梓州路,宋朝,
相如,果州,梓州路,宋朝,
西充,果州,梓州路,宋朝,
南充,果州,梓州路,宋朝,
遂宁府,梓州路,宋朝,,
青石,遂宁府,梓州路,宋朝,
遂宁,遂宁府,梓州路,宋朝,
蓬溪,遂宁府,梓州路,宋朝,
潼川府,梓州路,宋朝,,
永泰,潼川府,梓州路,宋朝,
富顺监,梓州路,宋朝,,
富顺,富顺监,梓州路,宋朝,
祥州,梓州路,宋朝,,
庆符,祥州,梓州路,宋朝,
滋州,梓州路,宋朝,,
仁怀,滋州,梓州路,宋朝,
承流,滋州,梓州路,宋朝,
纯州,梓州路,宋朝,,
九支,纯州,梓州路,宋朝,
安溪,纯州,梓州路,宋朝,
长宁军,梓州路,宋朝,,
长宁军,长宁军,梓州路,宋朝,
安宁,长宁军,梓州路,宋朝,
武宁,长宁军,梓州路,宋朝,
富义监,梓州路,宋朝,,
富义监,富义监,梓州路,宋朝,
富顺,富义监,梓州路,宋朝,
富顺监,富义监,梓州路,宋朝,
富顺,富顺监,富义监,梓州路,宋朝
宁西军,梓州路,宋朝,,
怀安军,梓州路,宋朝,,
金堂,怀安军,梓州路,宋朝,
金水,怀安军,梓州路,宋朝,
渠州,梓州路,宋朝,,
邻水,渠州,梓州路,宋朝,
邻山,渠州,梓州路,宋朝,
渠江,渠州,梓州路,宋朝,
大竹,渠州,梓州路,宋朝,
流江,渠州,梓州路,宋朝,
戎州,梓州路,宋朝,,
棘道,戎州,梓州路,宋朝,
义宾,戎州,梓州路,宋朝,
宣化,戎州,梓州路,宋朝,
南溪,戎州,梓州路,宋朝,
开边,戎州,梓州路,宋朝,
归顺,戎州,梓州路,宋朝,
马湖江部,戎州,梓州路,宋朝,
石门路,戎州,梓州路,宋朝,
南广部,戎州,梓州路,宋朝,
宜宾,戎州,梓州路,宋朝,
庆符,戎州,梓州路,宋朝,
荣州,梓州路,宋朝,,
和义,荣州,梓州路,宋朝,
公井,荣州,梓州路,宋朝,
应灵,荣州,梓州路,宋朝,
资官,荣州,梓州路,宋朝,
威远,荣州,梓州路,宋朝,
荣德,荣州,梓州路,宋朝,
旭川,荣州,梓州路,宋朝,
合州,梓州路,宋朝,,
石镜,合州,梓州路,宋朝,
石照,合州,梓州路,宋朝,
汉初,合州,梓州路,宋朝,
巴川,合州,梓州路,宋朝,
铜梁,合州,梓州路,宋朝,
新明,合州,梓州路,宋朝,
赤水,合州,梓州路,宋朝,
江安州,梓州路,宋朝,,
昌州,梓州路,宋朝,,
大足,昌州,梓州路,宋朝,
昌元,昌州,梓州路,宋朝,
永川,昌州,梓州路,宋朝,
普州,梓州路,宋朝,,
安岳,普州,梓州路,宋朝,
普康,普州,梓州路,宋朝,
安居,普州,梓州路,宋朝,
崇龛,普州,梓州路,宋朝,
乐至,普州,梓州路,宋朝,
资州,梓州路,宋朝,,
资阳,资州,梓州路,宋朝,
龙水,资州,梓州路,宋朝,
内江,资州,梓州路,宋朝,
银山,资州,梓州路,宋朝,
月山,资州,梓州路,宋朝,
丹山,资州,梓州路,宋朝,
清溪,资州,梓州路,宋朝,
磐石,资州,梓州路,宋朝,
顺庆府,梓州路,宋朝,,
遂州,梓州路,宋朝,,
方义,遂州,梓州路,宋朝,
小溪,遂州,梓州路,宋朝,
长江,遂州,梓州路,宋朝,
蓬溪,遂州,梓州路,宋朝,
遂宁,遂州,梓州路,宋朝,
青石,遂州,梓州路,宋朝,
梓州,梓州路,宋朝,,
永泰,梓州,梓州路,宋朝,
剑南东川节度,梓州,梓州路,宋朝,
安泰,梓州,梓州路,宋朝,
东关,梓州,梓州路,宋朝,
铜山,梓州,梓州路,宋朝,
飞乌,梓州,梓州路,宋朝,
通泉,梓州,梓州路,宋朝,
盐亭,梓州,梓州路,宋朝,
射洪,梓州,梓州路,宋朝,
涪城,梓州,梓州路,宋朝,
中江,梓州,梓州路,宋朝,
元武,梓州,梓州路,宋朝,
郪县,梓州,梓州路,宋朝,
成都府路,宋朝,,,
成都府,成都府路,宋朝,,
广都,成都府,成都府路,宋朝,
犀浦,成都府,成都府路,宋朝,
灵泉,成都府,成都府路,宋朝,
灵池,成都府,成都府路,宋朝,
新繁,成都府,成都府路,宋朝,
新都,成都府,成都府路,宋朝,
温江,成都府,成都府路,宋朝,
双流,成都府,成都府路,宋朝,
郫县,成都府,成都府路,宋朝,
华阳,成都府,成都府路,宋朝,
成都,成都府,成都府路,宋朝,
剑南西川节度,成都,成都府,成都府路,宋朝
古羁縻州,成都府路,宋朝,,
益州路,宋朝,,,
隆州,益州路,宋朝,,
籍县,隆州,益州路,宋朝,
贵平,隆州,益州路,宋朝,
威州,益州路,宋朝,,
通化,威州,益州路,宋朝,
嘉州,益州路,宋朝,,
洪雅,嘉州,益州路,宋朝,
平羌,嘉州,益州路,宋朝,
玉津,嘉州,益州路,宋朝,
罗目,嘉州,益州路,宋朝,
绥山,嘉州,益州路,宋朝,
犍为,嘉州,益州路,宋朝,
峨眉,嘉州,益州路,宋朝,
夹江,嘉州,益州路,宋朝,
龙游,嘉州,益州路,宋朝,
蜀州,益州路,宋朝,,
晋原,蜀州,益州路,宋朝,
新津,蜀州,益州路,宋朝,
唐兴,蜀州,益州路,宋朝,
江原,蜀州,益州路,宋朝,
永康,蜀州,益州路,宋朝,
青城,蜀州,益州路,宋朝,
石泉军,益州路,宋朝,,
永康,石泉军,益州路,宋朝,
神泉,石泉军,益州路,宋朝,
龙安,石泉军,益州路,宋朝,
石泉,石泉军,益州路,宋朝,
永安军,益州路,宋朝,,
成都府,益州路,宋朝,,
广都,成都府,益州路,宋朝,
犀浦,成都府,益州路,宋朝,
灵泉,成都府,益州路,宋朝,
灵池,成都府,益州路,宋朝,
新繁,成都府,益州路,宋朝,
新都,成都府,益州路,宋朝,
温江,成都府,益州路,宋朝,
双流,成都府,益州路,宋朝,
郫县,成都府,益州路,宋朝,
华阳,成都府,益州路,宋朝,
成都,成都府,益州路,宋朝,
剑南西川节度,成都,成都府,益州路,宋朝
亨州,益州路,宋朝,,
嘉会,亨州,益州路,宋朝,
祺州,益州路,宋朝,,
春祺,祺州,益州路,宋朝,
永康军,益州路,宋朝,,
镇静军,益州路,宋朝,,
导江,镇静军,益州路,宋朝,
青城,镇静军,益州路,宋朝,
仙井监,益州路,宋朝,,
陵井监,益州路,宋朝,,
陵州,益州路,宋朝,,
仁寿,陵州,益州路,宋朝,
井研,陵州,益州路,宋朝,
始建,陵州,益州路,宋朝,
籍县,陵州,益州路,宋朝,
贵平,陵州,益州路,宋朝,
维州,益州路,宋朝,,
保宁,维州,益州路,宋朝,
金川,维州,益州路,宋朝,
通化,维州,益州路,宋朝,
简州,益州路,宋朝,,
阳安,简州,益州路,宋朝,
平泉,简州,益州路,宋朝,
金水,简州,益州路,宋朝,
茂州,益州路,宋朝,,
汶山,茂州,益州路,宋朝,
汶川,茂州,益州路,宋朝,
春祺城,茂州,益州路,宋朝,
石泉,茂州,益州路,宋朝,
雅州,益州路,宋朝,,
严道,雅州,益州路,宋朝,
芦山,雅州,益州路,宋朝,
名山,雅州,益州路,宋朝,
荣经,雅州,益州路,宋朝,
西山野山部,雅州,益州路,宋朝,
百丈,雅州,益州路,宋朝,
黎州,益州路,宋朝,,
汉源,黎州,益州路,宋朝,
通望,黎州,益州路,宋朝,
两林邛部,黎州,益州路,宋朝,
邛州,益州路,宋朝,,
临邛,邛州,益州路,宋朝,
依政,邛州,益州路,宋朝,
安仁,邛州,益州路,宋朝,
大邑,邛州,益州路,宋朝,
蒲江,邛州,益州路,宋朝,
火井,邛州,益州路,宋朝,
临溪,邛州,益州路,宋朝,
嘉定府,益州路,宋朝,,
汉州,益州路,宋朝,,
金堂,汉州,益州路,宋朝,
德阳,汉州,益州路,宋朝,
绵竹,汉州,益州路,宋朝,
什邡,汉州,益州路,宋朝,
雒县,汉州,益州路,宋朝,
绵州,益州路,宋朝,,
巴西,绵州,益州路,宋朝,
彰明,绵州,益州路,宋朝,
魏城,绵州,益州路,宋朝,
罗江,绵州,益州路,宋朝,
盐泉,绵州,益州路,宋朝,
西昌,绵州,益州路,宋朝,
神泉,绵州,益州路,宋朝,
龙安,绵州,益州路,宋朝,
石泉,绵州,益州路,宋朝,
彭州,益州路,宋朝,,
唐昌,彭州,益州路,宋朝,
永昌,彭州,益州路,宋朝,
崇宁,彭州,益州路,宋朝,
蒙阳,彭州,益州路,宋朝,
堋口,彭州,益州路,宋朝,
九陇,彭州,益州路,宋朝,
导江,彭州,益州路,宋朝,
崇庆府,益州路,宋朝,,
崇庆军节度,崇庆府,益州路,宋朝,
眉州,益州路,宋朝,,
洪雅,眉州,益州路,宋朝,
青神,眉州,益州路,宋朝,
丹棱,眉州,益州路,宋朝,
彭山,眉州,益州路,宋朝,
眉山,眉州,益州路,宋朝,
通义,眉州,益州路,宋朝,
益州,益州路,宋朝,,
益州节度,益州,益州路,宋朝,
西川路,宋朝,,,
荆湖北路,宋朝,,,
靖州,荆湖北路,宋朝,,
罗蒙,靖州,荆湖北路,宋朝,
渠阳,靖州,荆湖北路,宋朝,
会同,靖州,荆湖北路,宋朝,
三江,靖州,荆湖北路,宋朝,
常德府,荆湖北路,宋朝,,
武平军节度,常德府,荆湖北路,宋朝,
常德军节度,常德府,荆湖北路,宋朝,
归州,荆湖北路,宋朝,,
兴山,归州,荆湖北路,宋朝,
巴东,归州,荆湖北路,宋朝,
巴东,归州,荆湖北路,宋朝,
秭归,归州,荆湖北路,宋朝,
兴山,归州,荆湖北路,宋朝,
汉阳军,荆湖北路,宋朝,,
汉川,汉阳军,荆湖北路,宋朝,
汉阳,汉阳军,荆湖北路,宋朝,
复州,荆湖北路,宋朝,,
玉沙,复州,荆湖北路,宋朝,
沔阳,复州,荆湖北路,宋朝,
景陵,复州,荆湖北路,宋朝,
荆门军,荆湖北路,宋朝,,
当阳,荆门军,荆湖北路,宋朝,
长林,荆门军,荆湖北路,宋朝,
岳州,荆湖北路,宋朝,,
沅江,岳州,荆湖北路,宋朝,
巴陵,岳州,荆湖北路,宋朝,
湘阴,岳州,荆湖北路,宋朝,
临湘,岳州,荆湖北路,宋朝,
王朝,岳州,荆湖北路,宋朝,
平江,岳州,荆湖北路,宋朝,
华容,岳州,荆湖北路,宋朝,
德安府,荆湖北路,宋朝,,
安州军节度,德安府,荆湖北路,宋朝,
云梦,德安府,荆湖北路,宋朝,
应山,德安府,荆湖北路,宋朝,
彭泽,应山,德安府,荆湖北路,宋朝
应城,德安府,荆湖北路,宋朝,
安陆,德安府,荆湖北路,宋朝,
孝感,德安府,荆湖北路,宋朝,
安远军节度,德安府,荆湖北路,宋朝,
安羁縻州,德安府,荆湖北路,宋朝,
纯州,荆湖北路,宋朝,,
九支,纯州,荆湖北路,宋朝,
安溪,纯州,荆湖北路,宋朝,
龙阳军,荆湖北路,宋朝,,
龙阳,龙阳军,荆湖北路,宋朝,
寿军,荆湖北路,宋朝,,
武昌,寿军,荆湖北路,宋朝,
公安军,荆湖北路,宋朝,,
公安,公安军,荆湖北路,宋朝,
信阳军,荆湖北路,宋朝,,
信阳,信阳军,荆湖北路,宋朝,
罗山,信阳军,荆湖北路,宋朝,
荆门军,荆湖北路,宋朝,,
长林,荆门军,荆湖北路,宋朝,
当阳,荆门军,荆湖北路,宋朝,
当阳,荆门军,荆湖北路,宋朝,
诚州,荆湖北路,宋朝,,
永平,诚州,荆湖北路,宋朝,
通道,诚州,荆湖北路,宋朝,
三江,诚州,荆湖北路,宋朝,
会同,诚州,荆湖北路,宋朝,
渠阳,诚州,荆湖北路,宋朝,
罗蒙,诚州,荆湖北路,宋朝,
渠阳军,荆湖北路,宋朝,,
沅州,荆湖北路,宋朝,,
卢阳,沅州,荆湖北路,宋朝,
麻阳,沅州,荆湖北路,宋朝,
黔阳,沅州,荆湖北路,宋朝,
渠阳寨,沅州,荆湖北路,宋朝,
招谕,沅州,荆湖北路,宋朝,
渠阳,沅州,荆湖北路,宋朝,
辰州,荆湖北路,宋朝,,
招谕,辰州,荆湖北路,宋朝,
溶羁縻州,辰州,荆湖北路,宋朝,
下溪羁縻州,辰州,荆湖北路,宋朝,
保静羁縻州,辰州,荆湖北路,宋朝,
渭羁縻州,辰州,荆湖北路,宋朝,
永顺羁縻州,辰州,荆湖北路,宋朝,
富羁縻州,辰州,荆湖北路,宋朝,
保顺羁縻州,辰州,荆湖北路,宋朝,
顺羁縻州,辰州,荆湖北路,宋朝,
高江羁縻州,辰州,荆湖北路,宋朝,
麻阳,辰州,荆湖北路,宋朝,
卢溪,辰州,荆湖北路,宋朝,
辰溪,辰州,荆湖北路,宋朝,
叙浦,辰州,荆湖北路,宋朝,
沅陵,辰州,荆湖北路,宋朝,
峡州,荆湖北路,宋朝,,
宜都,峡州,荆湖北路,宋朝,
长阳,峡州,荆湖北路,宋朝,
远安,峡州,荆湖北路,宋朝,
巴山,峡州,荆湖北路,宋朝,
夷陵,峡州,荆湖北路,宋朝,
澧州,荆湖北路,宋朝,,
慈利,澧州,荆湖北路,宋朝,
石门,澧州,荆湖北路,宋朝,
安乡,澧州,荆湖北路,宋朝,
澧阳,澧州,荆湖北路,宋朝,
鼎州,荆湖北路,宋朝,,
朗州,荆湖北路,宋朝,,
桃源,朗州,荆湖北路,宋朝,
辰阳,朗州,荆湖北路,宋朝,
桥江,朗州,荆湖北路,宋朝,
湘阴,朗州,荆湖北路,宋朝,
武陵,朗州,荆湖北路,宋朝,
沅江,朗州,荆湖北路,宋朝,
益阳,朗州,荆湖北路,宋朝,
龙阳,朗州,荆湖北路,宋朝,
安州,荆湖北路,宋朝,,
汉川,安州,荆湖北路,宋朝,
吉阳,安州,荆湖北路,宋朝,
孝感,安州,荆湖北路,宋朝,
安陆,安州,荆湖北路,宋朝,
应城,安州,荆湖北路,宋朝,
应山,安州,荆湖北路,宋朝,
彭泽,应山,安州,荆湖北路,宋朝
景陵,安州,荆湖北路,宋朝,
云梦,安州,荆湖北路,宋朝,
鄂州,荆湖北路,宋朝,,
武昌军节度,鄂州,荆湖北路,宋朝,
武清军节度,鄂州,荆湖北路,宋朝,
武清军节度,鄂州,荆湖北路,宋朝,
通山,鄂州,荆湖北路,宋朝,
通城,鄂州,荆湖北路,宋朝,
汉阳,鄂州,荆湖北路,宋朝,
汉川,鄂州,荆湖北路,宋朝,
武昌,鄂州,荆湖北路,宋朝,
崇阳,鄂州,荆湖北路,宋朝,
咸宁,鄂州,荆湖北路,宋朝,
武昌军节度,鄂州,荆湖北路,宋朝,
大冶,鄂州,荆湖北路,宋朝,
永兴,鄂州,荆湖北路,宋朝,
